MlsNumber,PublicRemarks,Bathrooms,Bedrooms,InteriorSize,Type,Ammenities,Address,Longitude,Latitude,PostalCode,NeighbourHood,Price,PropertyType,ParkingSpace,OwnershipType,Appliances,FlooringType,BasementType,HeatingType,LandSize,AmmenitiesNearBy,PropertyTax,ZoningDescription,LowResPhoto
"X5159246","3 Bed Room Detached In Forest Heights On A Deep Lot At The End Of A Quiet Cul-De-Sac Backing Onto A Wooded Trail. Tastefully Updated With Trendy Finishes. Main Floor With Large Bay Windows, Living And Family Room Space And An Updated Eat-In Kitchen With Newer Cabinets (2013) Stainless Steel Appliances (2019). Basement Is Home To A Large Rec Room With Floor To Ceiling Built-In Oak Shelving And Gas Fireplace. Perfect For First Time Buyers And Young Families!**** EXTRAS **** Stove, Fridge, Dishwasher, Microwave Vent, Washer & Dryer Water Heater Is Rented (28113725)","2","3",,"House",,"99 ROYAL ORCHARD PL|Kitchener, Ontario N2N1Z6","-80.5274144","43.415125","N2N1Z6",,"$649,000 ","Single Family","3","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","42.75 x 115 FT",,"$3,188",,"https://cdn.realtor.ca/listing/TS637517639284930000/reb82/highres/6/x5159246_1.jpg"
"40084334","Opportunity knocks on this unique midtown property!  Currently being used as 2 side by side units, each a full 2 storey unit with a full basement.  The main unit is a 3 bedroom 2 bath unit and the 2nd unit 46A is a 2 bedroom 1 bath unit.  If you're looking for a property with a mortgage helper or maybe an investment.  Also a great opportunity to do some work here and turn it back into a large family home with a large yard.  Located within walking distance to an LRT stop, Grand River Hospital and Google, this is a rare chance to get creative and maybe buy with another friend who is looking to get into the market but you don't need to live in the same space with them!  Please make sure to review photos and virtual tour before booking a showing. (63039021)","3","5 + 0","2108.0000","House",,"46 SHANLEY Street|Kitchener, Ontario N2H5N9","-80.50330903","43.45636082","N2H5N9",,"$599,900 ","Single Family","5","Freehold","Dryer, Refrigerator, Stove, Washer",,"Full (Unfinished)","Forced air, (Natural gas)","under 1/2 acre","Hospital, Place of Worship, Public Transit, Schools, Shopping",,"residential","https://cdn.realtor.ca/listing/TS637517661905400000/reb16/highres/4/40084334_1.jpg"
"40081704","City-approved, turn-key, duplexed bungalow in desirable Forest Heights beckons for your immediate attention!   Has the cost of living in KW gotten you down?  Search no longer - 77 Elm Ridge is your solution.  Enjoy quality of life in the three bedroom main unit while receiving $1399 a month mortgage helper income from the lower unit.  Both tenants are on month-to-month basis with main unit tenant departing prior to May 1.  (Main unit tenant is currently paying $1900 per month and has garage access.) The main unit features an updated, Eurostyle Oxford white kitchen with extensive cabinetry accentuated with subway tile backsplash.  Kitchen and bathroom flooring upgraded to vinyl plank.  The living room/dining area has hardwood flooring and the three bedrooms have beautiful re-finished and stained parquet flooring.  Newer toilet and sink in main bath. The spacious lower unit features a modern IKEA kitchen, large living central living room, two bedrooms and a den.  Bedrooms and den feature newer laminate plank flooring. Both units are carpet-free and have in suite laundry. Note composite front porch with black aluminum railing, newer side deck fully fenced backyard. This is a smart acquisition for buyer looking to offset housing costs or buyer seeking multi-generational home or investor looking for a foothold in one of the best real estate/rental markets in Canada! (63035410)","2","3 + 2","1121.0000","House",,"77 ELM RIDGE Drive|Kitchener, Ontario N2N1G5","-80.52456021","43.42313221","N2N1G5",,"$624,900 ","Single Family","3","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Washer, Hood Fan",,"Full (Finished)","Forced air, (Natural gas)","0.107 ac|under 1/2 acre","Public Transit",,"R4","https://cdn.realtor.ca/listing/TS637517625792900000/reb16/highres/4/40081704_1.jpg"
"X5158972","Opportunity Knocks! Rare Find In This Neighbourhood As This Home Boasts Four Bedrooms (All On The Same Level), 3 Baths And A Double Garage! The Backyard Features A Gorgeous Patio Area, In-Ground Pool, And Still Room For Plenty Of Grass Space. Walk Into This Lovely Home Through A Peaceful Front Patio And Into The Updated Foyer With New Flooring, Updated 2 Pc Washroom And Updated Family Room With A Gas Fireplace. (28112083)","3","4",,"House",,"36 GAY CRES|Kitchener, Ontario N2A2C3","-80.4385412","43.4475424","N2A2C3",,"$700,000 ","Single Family","4","Freehold",,,"Full (Finished)","Forced air (Natural gas)","58 x 130 FT","Public Transit, Schools","$4,321.02",,"https://cdn.realtor.ca/listing/TS637517579370700000/reb86/highres/2/x5158972_1.jpg"
"40083822","Recently updated 3 bedroom, 3 bathroom in east Kitchener, close to the Grand River & expressway! Brand new flooring on the main level.  Main floor powder room. Kitchen with new stainless appliances. Finished lower level with rec room and 3 piece bath. Brand new furnace and central air. Fully fenced yard. Just move-in! (63036761)","3","3 + 0","1362.0000","House",,"279 TAGGE Crescent|Kitchener, Ontario N2K3R7","-80.47029535","43.47952507","N2K3R7",,"$675,000 ","Single Family","5","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Washer, Hood Fan",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Park, Place of Worship, Public Transit, Schools, Shopping",,"RESIDENTAL","https://cdn.realtor.ca/listing/TS637517559485870000/reb16/highres/2/40083822_1.jpg"
"40084087","Opportunity!Whether You're Looking To Expand Your Investment Portfolio Or Need More Spacious Home For Your Growing Family,This Fully Detached Home Offers Both,With Over 2381 Sq/Ft Of Finished Living Space,Consisting Of Living Dinning ,Kitchen 8 Bedrooms And 3 Baths,Want To Spend The Warm,Sunny Days By The Pool,Tanning On The Deck: Only Two Minutes Drive From The 401 And Extremely Close To Public Transit,Conestoga College And Shopping A Very Short Walk Away.What Are You Waiting For?? All dimensions are taken from the I guide source. Basement has a pantry that can be used as kitchen after getting permit from city. (63036513)","3","6 + 1","1704.0000","House",,"78 AMHERST Drive|Kitchener, Ontario N2P1C9","-80.41130933","43.39247269","N2P1C9",,"$729,000 ","Single Family",,"Freehold","Dryer, Refrigerator, Stove, Washer",,"Full (Finished)","Forced air","under 1/2 acre","Public Transit, Schools",,"R3","https://cdn.realtor.ca/listing/TS637517523354000000/reb16/highres/7/40084087_1.jpg"
"40082614","So Cute! So Cozy! So Available!  We are pleased to offer this exceptionally well cared for, well appointed 4 bedroom bungalow located in the desireable West ward area of Kitchener.  Located next to miles of well maintained trails, Famed Victoria Park is just steps away!  Built in 1954 at a time when builders took pride in their workmanship, these owners have been fantastic stewards for the property, updating it with an Artistic and attractive flair over the years.  Impressive new Concrete driveway with parking for up to 8 cars leads to a fully bricked detached double car garage perfect for parking out of the elements, or that dream workshop you have always deserved. Great curb appeal with the Armour stone accents featured along the front of the property as well as the built up, low maintenance flower beds.  Attention to detail and uniqueness is displayed throughout the main floor living area that features 3 bedrooms, living room and an Eat in Kitchen area featuring oodles of cabinet space.  A not to miss on this main floor is the access hatch to the upper walk up untouched attic space awaiting your design touches! The basement area is sure to impress with ALL areas exquisitly finished from the laundry to the 4 piece extra bath to oversize rec room!  Out the back, nature lovers will love the peace and serenity that this 200+ Foot property has to offer.  A little country in the city with areas for raised gardens, reading/sitting/entertaining gazebo as well as play areas set up for the kids! Some important noteables Furnace 2013, Air conditioner 2015, roof 2019, water softener 2018, Concrete driveway 2018, Composite Deck 2019, All windows newer vinyl clad and R60 insulation in the attic! (63034973)","2","3 + 1","1020.0000","House",,"152 PATRICIA Avenue|Kitchener, Ontario N2M1J6","-80.50588931","43.44151605","N2M1J6",,"$599,900 ","Single Family",,"Freehold","Dishwasher, Dryer, Refrigerator, Stove, Water softener, Washer, Hot Tub",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Hospital, Playground, Public Transit, Schools, Shopping",,"RES","https://cdn.realtor.ca/listing/TS637517517877000000/reb16/highres/4/40082614_1.jpg"
"40084016","Welcome to 105 Sims Estate! Sitting at the base of Chicopee Ski Club this stunning Semi Detached home is over 1600 sq ft. The main floor is Open Concept and has new engineered flooring with a  kitchen that features stainless appliances, quartz surfaces and breakfast island. There is also separate dining  and walk out through  over sized sliders to fully fenced back yard. Just upstairs there is an extra loft area that will work great for an office. The huge Master Bedroom with cathedral ceiling has a impressive walk in closet and ensuite privilege. The upstairs level is complete with 2 more large bedrooms and family bath Out back the custom  deck is perfect for entertaining with gas hook up for your BBQ. The newer built  garden shed will come in handy for storage. The basement level is unspoiled and awaits your design.   Close to all amenities the region has to offer and just steps to skiing, tennis, community trails and so much more. We invite you to come for a viewing! (63036100)","2","3 + 0",,"House",,"105 SIMS ESTATE Drive|Kitchener, Ontario N2A0A9","-80.4196219","43.4387012","N2A0A9",,"$649,900 ","Single Family","2","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Washer, Microwave Built-in, Hood Fan, Window Coverings",,"Full (Unfinished)","Forced air","under 1/2 acre","Airport, Hospital, Park, Place of Worship, Public Transit, Schools, Shopping, Ski area",,"Residential","https://cdn.realtor.ca/listing/TS637517481341300000/reb16/highres/6/40084016_1.jpg"
"40078218","Nestled in the SOUGHT AFTER neighborhood of COUNTRY HILLS, sits this 3+1 bedroom FAMILY HOME offering a HUGE POTENTIAL for an IN-LAW SETUP or MORTGAGE HELPER in the WALKOUT BASEMENT. The main floor boasts a FUNCTIONAL FLOORPLAN with the formal living room, dining room towards the front of the home adjoining an ELEGANT half bath. The bright kitchen adorns OAK CABINETRY, STAINLESS STEEL APPLIANCES & ample counter space. The dinette area offers a large GALLERY WINDOW with views of the MAJESTIC treed & fenced backyard in a LARGE PIE LOT. This level also includes a family room with a VAULTED CEILING & track lighting amidst the WOOD BURNING FIREPLACE & sliders to the deck & gazebo. The upper floor offers 3 SPACIOUS BEDROOMS including the master bedroom with double closets & a full bathroom. Did we mention CRYSTAL CHANDELIERS & CALIFORNIA SHUTTERS? Access the lower level common area with a laundry room; a SEPARATE BASEMENT AREA has been finished to include 1 bedroom, a full bath, living area & a kitchenette with a SEPARATE WALKOUT to a REAR PATIO. Complete with a single car garage & parking for 2 cars on the driveway, including a low maintenance front yard with AGGREGATE STONE surrounding landscaping & an extra-large side shed. With walking trails, parks, many amenities nearby, close proximity to Conestoga College & access to the 401, dont pass up this opportunity! (63030055)","3","3 + 1",,"House",,"235 SOUTHWOOD Drive|Kitchener, Ontario N2E2B2","-80.46843776","43.40939205","N2E2B2",,"$624,888 ","Single Family",,"Freehold","Central Vacuum, Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer, Hood Fan",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Park, Public Transit, Schools, Shopping",,"RES","https://cdn.realtor.ca/listing/TS637519170847070000/reb16/highres/8/40078218_1.jpg"
"X5158559","Welcome To 28 Metzloff Avenue! Beautifully Renovated 3 Bed/3 Bath Detached Modern House That Has An Older Charm On A Tree Lined Street With A Boulevard On A Large Lot. Pool Sized Yard, Large Deck (16X12), New Storage Shed, Lots Of Space To Design An Oasis.  Parking For 4 Suvs.  Solid Brick Home With Lots Of Natural Light. Great Central Location And Lots Of Amenities Nearby.  Great Home, Great Neighbourhood And Great Neighbours!**** EXTRAS **** New Hardwood Floors Throughout.  A Washroom On Every Floor! Workshop And Wood Finishing's Throughout The Basement. Modern Kitchen With Lots Of Workspace And Storage. (28110217)","3","3",,"House",,"28 METZLOFF DR|Kitchener, Ontario N2M1Z2","-80.5076043","43.4420343","N2M1Z2",,"$599,900 ","Single Family",,"Freehold",,,"N/A (Finished)","Forced air (Natural gas)","44.03 x 122.94 FT ; 44.74 X 117.18","Hospital, Park, Public Transit, Schools","$3,089.50",,"https://cdn.realtor.ca/listing/TS637520145654670000/reb82/highres/9/x5158559_1.jpg"
"40083271","Welcome home to 26 Springbank, nestled on a quiet tree-lined crescent in desirable Forest Hill. Not only does this 3 bedroom bungalow have curb appeal, it offers plenty of space for a family, with nearly 1400 ft2 on the main floor and a huge pie-shaped backyard, which in todays day and age, may be just what youre looking for. Upon entry into the home, you are met with a tiled entry, and the spacious living room to the left. Large windows and new flooring (2019) really set off this space. A separate dining room, also with new flooring, offers flexibility for where your family can share their meals. The kitchen, with attached dinette features stainless steel appliances, new floors, and a walkout onto the partially covered 600 ft2 composite deck (2018). This is where this property really gets exciting. This walkout bungalow has a large fenced backyard (2014), with plenty of mature trees, and is an entertainers delight. Plenty of space to play with the kids, the family pets or invite friends over with plenty of space for distancing! The main floor is rounded out with 3 bedrooms, and the stylish 4-piece bathroom, recently renovated in 2018. The large basement houses a rec room (new floors 2021), a space for a home office, a second bathroom and a bonus/workout room. The latter featuring a French door walkout into the backyard. Newer fascia, soffits and eaves trough round out the exterior improvements, including the newer roof (2013). The over-sized double garage provides parking for 2 actual cars, and space for all the things a garage should house. And if you do run out of room, theres a shed in the backyard to help with this. Located minutes away from a plethora of shopping options, restaurants, schools, medical and the highway. (63034384)","2","3 + 0","1397.0000","House",,"26 SPRINGBANK Crescent|Kitchener, Ontario N2M4P7","-80.51047618","43.43157568","N2M4P7",,"$699,000 ","Single Family","4","Freehold","Central Vacuum, Dishwasher, Dryer, Freezer, Refrigerator, Stove, Water softener, Washer",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Park, Public Transit, Schools, Shopping",,"RESIDENTAL","https://cdn.realtor.ca/listing/TS637517361009400000/reb16/highres/1/40083271_1.jpg"
"H4100977","This 3 bedroom detached home located in family friendly Forest Heights is on a quiet cul-de-sac. Impeccably updated with trendy finishes and many recent upgrades. Hard flooring throughout (2019), contemporary colors and attractive wallpaper accents in the bedrooms. Main floor features large bay windows, large open living and family room space and an updated eat-in kitchen with newer cabinets (2013) stainless steel appliances (2019). Basement is home to a large rec room with floor to ceiling built-in oak shelving and gas fireplace. The fully fenced back yard is deep, backs onto a forested trail and features a new deck (2019) and newer sod (2019). Other recent upgrades include the new Furnace & AC (2017), Bath Reno (2017), Washer & Dryer (2017), Roof (2020), Windows (2006). This home is well maintained inside and out. Great parks, excellent schools, pool, library, shopping and public transit all nearby. Perfect for first time buyers, young families, or if you're looking to downsize. Book a showing today to see for yourself! (27052158)","2","3","1311.0000","House",,"99 Royal Orchard Place|Kitchener, Ontario N2N1Z6","-80.527422","43.415132","N2N1Z6",,"$649,000 ","Single Family","3","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Water softener, Washer & Dryer, Window Coverings",,"Full (Finished)","Forced air (Natural gas)","42.75 x 115|under 1/2 acre","Public Transit, Schools","$3,188",,"https://cdn.realtor.ca/listing/TS637517367805600000/reb14/highres/7/h4100977_1.jpg"
"X5158233","Views Views Views! Gorgeous, Well Maintained Detached Home In One Of Kitchener's Most Desirable Neighborhood Located Close To Schools, Parks, And Sunrise Shopping Center. This Home Backs Directly Onto A Pond, Enjoy Spectacular Views From Your Deck, Year Round. Fully Finished Walk Out Basement W/ Large Rec Room And Brand New 3 Piece Washroom. This Property Is Move-In Ready, Upgraded Top To Bottom, And Available For A Quick Closing.**** EXTRAS **** Natural Gas Line On Deck, Ss Refrigerator, Ss Dishwasher, Ss Gas Stove, Ss Microwave, Washer And Dryer Included. (28108386)","3","3",,"House",,"68 EVERGLADE CRES|Kitchener, Ontario N2E3Y5","-80.524861","43.4108145","N2E3Y5",,"$699,000 ","Single Family","3","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","32.06 x 90.38 FT",,"$3,628.34",,"https://cdn.realtor.ca/listing/TS637516900764470000/reb82/highres/3/x5158233_1.jpg"
"40083422","Welcome to 494 Greenbrook Drive! Meticulously maintained over the years, this charming family home is located in the mature neighborhood of Forest Hill in the heart of Kitchener. It is a perfect setup for first homebuyers or investors. Features include 3 bedrooms, 2 full bathrooms, gas fireplace in the lower level and a handy 3 season sunroom. Out back you'll find a large, fenced backyard with patio, for enjoying time in the warmer months. Parking space won't be a worry with the oversized, interlocking stone driveway and carport. There is lots of space on the lower level for home office, gym or definitely in-law suite potential. With schools, shopping, parks and trails nearby, you'll be sure to feel right at home here immediately. This house has been very well-kept, and is in amazing shape. Lots of updates throughout the home!! Book your showing today! (63032228)","2","3 + 0","1124.0000","House",,"494 GREENBROOK Drive|Kitchener, Ontario N2M4K6","-80.51284272","43.42310127","N2M4K6",,"$574,900 ","Single Family","5","Freehold","Central Vacuum, Dishwasher, Dryer, Refrigerator, Stove, Wet Bar, Washer, Window Coverings",,"Full (Finished)","(Natural gas)","under 1/2 acre","Park, Place of Worship, Playground, Public Transit, Schools, Shopping",,"Res","https://cdn.realtor.ca/listing/TS637516803121400000/reb20/highres/2/40083422_1.jpg"
